train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
245064,NEW Victoria Secret Swimsuit Top sz L,1,Women/Swimwear/Two-Piece,Victoria's Secret,21.0,0,"Brand-new without tags never worn Fluorescent yellow and a bluish green color Very very adorable swimsuit top ❌NO ""lowest""/NO lowballing, No free shipping sorry ! ❤️ See last photo the color is more of a fluorescent yellow something with the lighting is not showing the colors pop the way it is Check my other items Miss me Rock revival Victoria Secret Pink Vs Michael kors True religion Tiffany and co And more ✅Ship same day ;). Price is firm now :)"
900037,Pink Sherpa Pullover,1,"Men/Sweats & Hoodies/Sweatshirt, Pullover",,69.0,0,"This pullover is incredibly soft and comfortable! I bought two of the same size so I'm looking to resell this one. NEVER WORN! They run slightly short, so this could fit a medium or a large. Typically people buy these 1-2 sizes big, so anyone from XS-L could fit in this! So warm! Tags still attached. VERY similar to the true grit pullovers but for a fraction of the price!! Retails for [rm] (refer to tag)"
480518,Oshkosh size 5 brown toddler loafers,1,Kids/Boys 0-24 Mos/Shoes,Osh Kosh B'gosh,11.0,0,Brand new With tags Size 5 Brown loafers Check out my other listings for great deals
627503,Kate Spade cross body LIKE NEW,2,Women/Women's Handbags/Messenger & Crossbody,Kate Spade,42.0,1,In excellent condition Zip pocket and side pocket with spots for organization
804471,Fashion Nova Olive Set,2,Women/Tops & Blouses/Other,Fashion Nova,30.0,0,"Brand new ! Never Worn, Too big on me."
963174,Guess Wide Calf Tall Boots Sz 9.5,2,Women/Shoes/Boots,GUESS,20.0,1,"These were worn 1 time for pictures and never worn again. They are regular foot width but very roomy in the calf. The heel is about 3.5"" and the Shaft of the boot is about 12"" tall (I'm measuring top of foot to top of boot)."
1268608,UGGS 6c,1,Kids/Girls 2T-5T/Shoes,UGG Australia,30.0,1,New NO BOX Price is firm
826580,Silver,2,Women/Jeans/Straight Leg,Silver Jeans Co.,20.0,0,Silver Tuesday size 29/35L New condition.
448163,Katy Hearn Shirt,3,Women/Athletic Apparel/Shirts & Tops,,12.0,0,Blue Katy Hearn t-shirt
514536,10 Womens Beige Tan Stacked Heels Shoes,2,Women/Shoes/Pumps,Croft & Barrow,20.0,1,"Like new! Worn once for an hour. No signs of wear at all. Croft & Barrow (from Kohls) Sabrina Light tan pumps with a stacked heel and memory foam sock for comfort all day. Size 10 womens. Retail for [rm]. Great shoes for work! Smoke free, Maltese friendly home. All sales are final. No returns. Please check out my other listings! *I will not be shipping in original box unless you specifically request it, at which time I will need to add to the shipping cost.*"
93556,Lularoe TC,1,"Women/Athletic Apparel/Pants, Tights, Leggings",,28.0,1,BNWT. Beta Fish.
709494,Vans Purple And Blue Ombre Shoes,2,,VANS,26.0,0,"Worn once. Men's size 9, women's size 10"
891499,Dermablend redness concealer,3,Beauty/Makeup/Face,Dermablend,13.0,0,Dermablend Smooth Indulgence redness concealer long-lasting matte finished used twice
1107436,Red Velvet 24hr Velvet Matte Lip Kit,1,Beauty/Makeup/Lips,,10.0,1,"❤Lip Matte & Matching 3-in-1 Lip Liner, Eyeliner Eyeshadow Pencil ⭐ 100% Brand New & Authentic Long Lasting Waterproof Liquid Matte Lipgloss/Lipstick ⭐ Applies Like a Gloss, Dries a Velvet Matte Finish! ⭐ Full Coverage! Kiss Proof! Smudge Proof! Bulletproof! Life Proof! Your new Favorite Lipstick! ⭐ Always Exfoliate Lips & Apply Lip Balm Before Application ⭐ Must Use Makeup Discharge Oil, Argan, Coconut, or Olive Oil to Remove. *Oil Based Removal ➡1st Photo is Closest Color Representation of Color. Appearances May Vary Depending on Different Monitors or Skin Tone If you Like Lime Crime, Anastasia, NYX, Jeffree Star, or Kylie- You'll L❤VE MeNow! ➡ Check My Closet For All of Your [rm] OFF Bundle Discounts! ✨ Glitter&Grunge Boutique ✨ ❤4 All Your Individual Makeup Wants & Needs❤ ➡So Much More Coming Very Soon! ➡Need Something? Just Ask! Vampire, Goth, Gothic, Cosplay, Costume, Metallic"
154727,Lego Series 13 Classic King Minifigure,2,Kids/Toys/Building Toys,LEGO,6.0,1,Lego Series 13 Classic King Minifigure Like new condition authentic Lego figure Comes with sword and baseplate. No packaging included.
239817,Beauty Blender For Jesse1330,1,Beauty/Makeup/Brushes & Applicators,beautyblender®,18.0,1,Pink beauty blender
1261174,Blue and Green Chacos Size 8,4,Women/Shoes/Sandals,Chaco,40.0,1,Some cracks on sole but still wearable. Can be resoled.
773081,Philadelphia Eagles Velcro Hat,2,Sports & Outdoors/Fan Shop/NFL,,10.0,1,Get it by next game day! :)
902498,Thirsties Hemp/Cotton Inserts,1,Kids/Diapering/Cloth Diapers,,34.0,0,New!!! Prep-washed but unused! 2 large 6 small
380003,Authentic Chanel scarf,3,Women/Women's Accessories/Scarves & Wraps,Chanel,30.0,1,Navy blue and gold classy Chanel scarf
1369883,H&M Gray Maternity Jeans,3,Women/Maternity/Jeans,H&M,19.0,0,"Bought from here, never worn by me. Good condition, size 14 but they run about a size smaller"
650392,(For Harley Quinn) Nautical bikini,4,Women/Swimwear/Two-Piece,,14.0,0,Nautical style swimsuit. Has flaws the symbol is coming off from being worn and washed. But still has some wear Tags: nautical swimsuit swimwear beach beaches two piece swim swimming Lolita kawaii
10729,Puppy/Kitty in my Pocket,1,Kids/Toys/Dolls & Accessories,,15.0,1,NWOT Set of 11 kitties and 11 dogs total of 22 pets Free Shipping Puppy in my Pocket Kitty in my Pocket Not separating
235436,"BNWT LulaRoe OS leaf leggings, leaves",1,"Women/Athletic Apparel/Pants, Tights, Leggings",,23.0,1,"These are BNWT, never even tried on. They have a black background with purple and blue leaves. I am offering free shipping to the buyer."
280373,Bundle 2 x Xbox One Controller Battery,1,Electronics/Video Games & Consoles/Accessories,,20.0,1,Features: 100% Brand new and high quality. A Small and Lightweight Design. Grab an additional rechargeable battery for your XBOX ONE wireless controller! Easy to install and remove. High capacity 1200mAh battery allows for long usage before needing to be recharged. Specifications: Color: Black Input：DC5.0V Output：DC2.4V-3.0V Battery capacity: 1200mAh X 2. Charging Time: 2-4hours Usage time: Up to 6 hours depending on usage Packing Includes: 2* 1200mAh Battery 2* USB charge cable
176425,Japanese Vs Deck Mew 002,2,Vintage & Collectibles/Trading Cards/Animation,Pokemon,20.0,1,Holo japanese mew Pack fresh extremely rare Will be cased and sleeved
251857,Louis Vuitton wallet,3,Men/Men's Accessories/Wallets,Louis Vuitton,76.0,0,Lightly used wallet. Comes in Louis Vuitton dust bag. Really beautiful wallet and great materials at a good price. Comment with offers.
1228755,Large LuLaRoe Classic T,2,Women/Tops & Blouses/T-Shirts,LuLaRoe,16.0,1,"Like new, small ribs, very stretchy! I would say the color is a dark version of periwinkle. LuLaRoe"
832268,Bride & groom shot glasses,1,Handmade/Glass/Glassware,,8.0,1,Brand new never used From an Etsy shot
484407,Mommy and me leggings,1,"Women/Athletic Apparel/Pants, Tights, Leggings",,48.0,1,Lularoe NWT legging size OS and l/XL in kids. They are a mommy and me set.
932048,Fur Pom Pom keychain,1,Handmade/Accessories/Keychain,,6.0,1,Adorable fluffy Pom Pom faux fur keychain Gold keychain and clip Cute little Pearl and bunny ears Purchase this listing and message me which color you want Price is firm Ships every day! 1 for [rm] 2 for [rm] 3 for [rm] **Add faux septum ring for [rm]
65167,NEAR-PERFECT! UGG Bailey Button boots,3,Women/Shoes/Boots,UGG Australia,85.0,0,"100% authentic UGG Australia Bailey Button boots are beyond gorgeous and can be worn multiple ways! These super pretty boots have been worn by all the celebs and are available in a highly-sought-after shade of chestnut that will seamlessly pair with nearly everything! Only true ""flaw"" is some water marking near sole, as shown in pic 4, in otherwise virtually perfect condition! Retail at [rm]! Size is 7 which will accommodate a size 7-8 Women's. No trades please."
33437,BUNDLE for LETSHAVEFUN,2,Home/Home Décor/Home Décor Accents,,190.0,0,Thirty-One Hang Up Home Organizer - Grey Parisian Pop Thirty-One Hang Up Room Organizer- Grey Pin Dots Thirty-One Hang Up Family Organizer- Grey Pin Dots Thirty-One 3 Piece Hang Up Organizer Set - Black Cross Pop Thirty-One Sling Back Bag - Sea Stripe Thirty-One Sling Back Bag - Plum Plaid
186927,Velvet blazer,3,Women/Suits & Blazers/Blazer,Lucky Brand,20.0,1,Teal velvet blazer great condition. Sleeves are very long but cAn be cuffed up if necessary.
219953,iPhone 5S,3,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,Apple,115.0,1,"Good condition iPhone 5S, I had a Verizon SIM card with this, so my carrier was Verizon. Not sure if it can be used with other carriers. In very good condition besides a few ticks and dings on the corners. No cracks in the screen. Selling for [rm]."
587597,Two belly button rings!,2,Beauty/Makeup/Body,,16.0,0,One anchor and one dream catcher belly button piercings.
405493,Escada Perfume,1,Women/Other/Other,Escada,21.0,0,"Island Kiss, Sexy Graffiti, Rockin Rio, Taj Sunset, Marine Groove 4ml perfume set. Never been used."
218156,Hat ecko for men,3,Men/Men's Accessories/Hats,Marc Ecko,16.0,0,"Hat ecko,color black and red i wear only twice."
65800,Ralph Lauren Mens long sleeve polo shirt,1,Men/Tops/Button-Front,Polo Ralph Lauren,22.0,0,NWT Mens polo shirt. MSRP is [rm]. Selling for [rm].
1345491,Crimson Cherry #33 Lip Gloss,1,Beauty/Makeup/Lips,,8.0,1,"Next Day Shipping! 100% Authentic! Similar to Kat Von D Vampira! 1 x Crimson Cherry #33 * Long Lasting Lip Gloss - Lasts all Day * * Water Proof - Kiss Proof - Life Proof * * Dries to a matte finish * This lip gloss goes on wet and dries to a beautiful matte velvety finish! Allow time to dry completely before smacking your lips and your lip gloss will set beautifully! Tip: Try moisturizing your lips before use if your lips feel dry after application. Tip: To achieve the color you desire, you may want to layer your gloss until you reach the perfect tone. Disclaimer: The colors in the above pictures are as accurate as possible to the products true color. Due to different computer monitors, phones, and personal lip tones, the color may be appear slightly different. MAC NYX Kylie Satin Anastasia Toofaced Too faced Velvet Lime Crime Lipstick Ulta Sephora Von D Yum Yum Moscato Rose Perfecto Cougar"
172441,PENDING PURCHASE (more in my listings),1,Other/Daily & Travel items/Stationery & Party Supplies,,4.0,1,For Shannon 1 roll of 250 cOunt raffle tickets
350773,NWT nude mesh sequin tutu dress,1,"Women/Dresses/Above Knee, Mini",FOREVER 21,28.0,1,Brand New with tags never worn Price firm Standard size M forever 21 could possibly fit L Super gorgeous nude pink bustier tutu dress Sequined bust and mesh upper. Tulle skirt
508930,Clam with pearl Alex & Ani,3,Women/Jewelry/Bracelets,ALEX AND ANI,16.0,0,"Has fair amount of tarnish on the tags, no tarnish on bracelet though."
279402,Pink crowl sweater,3,Women/Sweaters/Cowl Neck,PINK,14.0,0,Gently used
1436500,"4.25"" Donut Glass Pipe",1,Vintage & Collectibles/Collectibles/Glass,,13.0,1,NEW NEVER USED!!
811061,Sequin Plus Blouse,3,Women/Tops & Blouses/Blouse,,9.0,0,"Brand is Only 9, Size 2X, band at bottom of blouse, has 2 tiny holes that can be sewed up really easy, This Blouse is New without Tags. Purchased from Bealls. (Listed as Good because it is new without tags and the lil holes are minor)"
505710,Vintage Mom Jeans,3,Women/Jeans/Straight Leg,Vintage,21.0,0,what a find!! these vintage stone washed mom jeans are high waisted and super flattering! there is some discoloration on the leg but is barely noticeable but still a flaw *no modeling *prices usually negotiable *all items are authentic *ask about bundle discount
274101,Gold Bracelet 10K *Interlocking Links*,3,Women/Jewelry/Bracelets,Stamped,135.0,0,Gold Bracelet 10K chain link. Width is 1/4 of an inch. Length is 7 1/2 inches. Medium Weight I do not have the information of where the bracelet was made. I don't know the weight of this bracelet for sale. #618.288a #1878.298a 16#2178.29 18 #2468.3010 19#2748.309 22#3108.3011 21#3268.3011 21#340 22#3573.314
752224,Deluxe mystery slime bundle,1,Handmade/Children/Toy,,19.0,0,Deluxe mystery slime bundle will include: - 1 mystery avalanche slime - 1 mystery clear-based slime - 1 mystery Floam - 1 mystery slime - a sample or two - borax
987515,SALE Michael Kors Satchel,1,Women/Women's Handbags/Satchel,Michael Kors,146.0,0,BRAND NEW Cynthia Merlot Saffiano leather MED SIZE FYI FOLKS CHARGE THIS PRICE FOR SECOND HAND BAGS..THIS IS NEW
1419909,3 Nike pro short spandex compression,3,Women/Athletic Apparel/Shorts,Nike,34.0,0,"Smoke free house 3 pairs lot Believe these are the statics pro shorts, 3inch Dri-fit fitted"
616259,(sm) Olive Floral midi dress w/ pockets,1,Women/Dresses/Knee-Length,,30.0,0,"New (no tags) floral midi length dress with side pockets, long sleeve and super soft fabric. Junior sizing, runs true to size with good stretch in fabric."
957262,Fossil Watch,3,Women/Women's Accessories/Watches,Fossil,19.0,0,Good condition WN's fossil watch. Hardly any signs of wear. Still has warranty
784271,Amethist gemstone ring,2,Women/Jewelry/Rings,,5.0,1,Gemstone ring size 7.
503980,4 pieces for Amanda,2,Kids/Boys 2T-5T/Tops & T-Shirts,,20.0,0,Nwot. Please check out my other listings and bundle to save.
929466,Chase spy gru Funko pop,3,Kids/Toys/Action Figures & Statues,Funko,30.0,1,The sticker is poorly stuck on so its peeling alittle Check pic for box condition Price firm
1056566,Cynthia Rowley size 2T dress,2,Kids/Girls 2T-5T/Dresses,,12.0,0,Beautiful mint green size 2T dress worn once with lace around the top and bottom.
838597,Left 4 Dead 2 Xbox 360 Game,3,Electronics/Video Games & Consoles/Games,Xbox,8.0,1,Used in great shape little to no signs of wear Smoke free home
97563,Marc Jacobs Daisy Dream,1,Beauty/Fragrance/Women,MARC JACOBS,10.0,1,"This is my price. No lower prices. This item is full, to need to ask. Lowballers will be ignored thanks. Please view the pictures because what is in the picture is EXACTLY what you will receive. Thanks again. ~~~~~~~~~~~~~~~~~~~~~~~FREE GIFT INCLUDED~~~~~~~~~~~~~~~~~~~~~~~"
1451668,MARILYN MONROE NECKLACE SET,2,Women/Jewelry/Necklaces,,16.0,0,"New In Box, Approximately 18"", See Pictures For Descriptions"
1317245,American Girl Hospital Gowns,3,Kids/Toys/Dolls & Accessories,American Girl ®,10.0,0,"For Melindaa01. Includes American Girl Hospital Gown and Pleasant Company Hospital Gown. Smoke free, cat friendly home. Firm price, no free shipping. Will bundle with other listings."
609291,Infant Jordan Booties,1,Kids/Boys 0-24 Mos/Other,,9.0,0,Brand new in box. 0-6 months.
86459,Diaper bundle,1,Kids/Diapering/Disposable Diapers,,30.0,0,8 packs of 20 each Comfee diapers
820710,TOOFACED NWT BULLETPROOF BROWS,1,Beauty/Makeup/Eyes,Too Faced,28.0,1,"BRAND NEW FREE SHIPPING AUTHENTIC TOO FACED BULLETPROOF BROWS regularly [rm] This groundbreaking brow definer is a powder, gel, pencil and setting wax all-in-one cashmere clay formula. It's the only brow product you'll ever need. Bulletproof Brow includes a mirror and our dual-sided angled and spooley brush for precise application. In just 60 seconds, color locks down for 24-hour, waterproof, smudge-proof, budge-proof Bulletproof Brows!"
1125127,Bracelets,3,Women/Jewelry/Bracelets,,5.0,1,Set of 5 royal blue bracelets
724265,PINK Sweatpants!,3,Women/Athletic Apparel/Tracksuits & Sweats,PINK,14.0,0,No description yet
63054,Bikini XS-Small,2,Women/Swimwear/Two-Piece,,14.0,1,Purchased from Romwe - tag says large but best fits a XS-Small
59229,Younique Addiction Palette 1,1,Beauty/Makeup/Makeup Palettes,,30.0,1,Brand new box included
972209,Kentucky shirts,3,Women/Tops & Blouses/T-Shirts,,24.0,0,6 different Kentucky wildcat shirts all size small
1025226,Blendercleanser Solid 1 oz. Solid,1,Beauty/Tools & Accessories/Makeup Brushes & Tools,,15.0,0,"Brand new, still sealed. What it is: A travel-friendly alternative to the liquid blendercleanser®, along with a custom grid to dry beautyblender® and deep clean brushes. What it does: This cleanser removes excess residue and germs for clean makeup application. It supports the integrity of the blender as it provides the same cleansing results and soothing lavender fragrance as the liquid blendercleanser."
102097,Black/red polka dot infant holiday dress,3,Kids/Girls 0-24 Mos/Dresses,,9.0,1,"Size 12 months Black velvet top Red belt (attached) Red, gray, white dots on skirt with crinolin underneath Good condition! Perfect for the holidays!"
813672,NWT Nike Sportswear Rally hoodie sm,1,Women/Sweaters/Hooded,Nike,41.0,0,"New with tags new style Nike Rally hoodie! Size small, MSRP [rm] heathered gray color, hidden side pockets, hood drawstring and funnel neck hood style. Sorry prices are not negotiable thanks for understanding"
294351,North face junior puffer jacket,3,Women/Coats & Jackets/Puffer,The North Face,29.0,0,Will fit a extra small to small women
85694,Secret Womens Perfume,1,Beauty/Fragrance/Women,,22.0,1,"Secret by Rasasi is a Floral Fruity fragrance for women. Top notes are peach, orange, violet leaf, camellia and apple blossom; middle notes are jasmine, rose, lily-of-the-valley, mandarin orange and tangerine Long lasting you will fall in love with it believe me Free shipping"
1359726,J Crew Pullover,3,Women/Coats & Jackets/Fleece Jacket,J. Crew,16.0,0,"Great condition, thick and soft material."
522644,BNWT XS ACID WASH CARLY,1,Women/Dresses/Asymmetrical Hem,LuLaRoe,99.0,0,BLUE/GREY ACID WASH
928092,Tortoise Gold Clear Rim Glasses,1,Women/Women's Accessories/Sunglasses,,8.0,1,⚠️PLEASE READ⚠️ ‼️Orders will be shipped next day ‼️Delivery takes 3 to 5 business days ‼️Price is Firm •100% UV Protection (UVA and UVB) •Clear Lens Glasses •For fashion use •NON-RX (non-prescription) •Great for daily use!
935963,NEW Ratchet and Clank PS4 Game,1,Electronics/Video Games & Consoles/Games,Sony,17.0,0,"NEW Ratchet and Clank PS4 Game. For PlayStation 4. Brand new, never opened, never played, factory sealed. Ships same day or next day!!"
929451,Rayban Aviators,3,Women/Women's Accessories/Sunglasses,Ray-Ban,69.0,0,Standard size Barely worn Comes with case and cleaner 100% authentic Originally paid [rm]!!
73736,Iphone 4,3,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,,30.0,1,32 GB Great condition Unlocked
746479,Red Heart Buttercup Yarn 4 Skeins,1,Vintage & Collectibles/Supplies/Yarn,,16.0,0,"Red Heart Buttercup Yarn 4 Skeins white with tiny multi colored pompoms. Super squishy and soft. Yarn Weight: 5 Bulky 67% polyester, 34% nylon 1.76 oz/ 72 yds per skein Matching dye lot Retail: [rm]/skein"
680579,RARE COACH LEGACY GARCIA LEATHER BAG,2,Women/Women's Handbags/Shoulder Bag,,28.0,0,"RARE AUTHENTIC COACH LEGACY GARCIA LEATHER SHOULDER/FLAP BAG #12654 CONDITION: ***LIKE NEW*** MEASURES: 14"" L x 9""H x 2.5""D This Legacy Garcia combines easy vintage elegance for a polished urban edge.  Chic on the outside, all business on the inside, this leather hobo keeps your life in perfect order with roomy interior.  *Style:  Garcia 12654 *Eggplant Purple *Very roomy shoulder bag *One extra wide leather handle with an 10"" drop *Leather Hang Tag *Magnetic closure *Two front flap pocket *Polished brass hardware *Golden sateen interior liner *One interior zipper wall pocket *Two interior multifunction pockets"
635686,Foxy and Snuggles Jelly Bear Squishy Set,1,Vintage & Collectibles/Antique/Collectibles,,11.0,1,"BNWT, 2.5 inches tall Gel and glitter inside move around!"
1476664,Gears of war Xbox 360 and games,2,Electronics/Video Games & Consoles/Games,Xbox,89.0,0,"There are lots of games good condition 2 gears of war controllers, a remote, hdmi cord, power cord, and 5 360 games that come with it."
3293,"The Very 1st Black Series Wave 1, 2013",1,Vintage & Collectibles/Toy/Action Figure,Star Wars,155.0,1,"Price is firm. These are authentic and they are original from the first release in 2013, not reproductions. There is some wear on the boxes as to be expected and slight damage to R2D2 and Darth Maul which I've done my best to highlight and point out. Even with those blemishes this is still a great set to own, get it today! R2 D2 6"" DATH MAUL 6"" LUKE PILOT 6"" SANDTROOPER 6"" 4 NEW items NEVER OPENED. HARDEST TO FIND."
784897,Pandora charm,2,Women/Jewelry/Bracelets,PANDORA,16.0,1,Authentic pandora charm
268731,Wen cleansing conditioner/smoothing glos,1,Beauty/Hair Care/Hair & Scalp Treatments,,31.0,0,16oz wen cleansing conditioner in winter white citrus new unopened and 1 oz straightening smoothing gloss in sweet almond mint.
539832,iPhone 7 plus glitter soft case,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Apple,10.0,0,"high quality case, protective"
1361741,Disney Pajamas,2,Kids/Girls (4+)/Other,Disney,5.0,1,Great condition. Size 8
709753,Sold to AmbeeMill,3,Beauty/Tools & Accessories/Hair Styling Tools,,181.0,0,These are basically brand new. Used maybe 3 times. Retail for [rm] Make me an offer! I'd really like to sell these!
1024904,"Melissa & Doug Flower Bead Set, NEW",1,Kids/Toys/Arts & Crafts,Melissa & Doug,9.0,0,"Wooden Flower Bead Set by Melissa & Doug, Brand New!"
889235,150 YUGIOH CARDS BOX LOT,2,Vintage & Collectibles/Trading Cards/Animation,Konami,19.0,0,"Most in mint or near mint condition. Shoot me an offer if you see a card(s) you like. I'm randomly choosing from 1000s of cards in my collection including hundreds of ultra rares, super rares, rares, and much more. Thank you and let me know if you have any questions. Random"
24539,Ben Nye Powder + Beauty Blender,1,Beauty/Makeup/Face,Ben Nye,12.0,0,"Brand new still in packaging! Ben Nye banana powder plus a beauty blender! Great gift. Beauty Blender colors I have available: Purple, Hot Pink, Light Pink, and Orange. Check my closet out!"
1114942,⚡️Michael Kors⚡️NWT,1,Women/Tops & Blouses/T-Shirts,Michael Kors,19.0,0,Michael Kors Small Tile Blue Color ❗️NO FreeShip❗️Proceeds go towards feeding the homeless❗️
270553,Jordan R's For Malik,1,Men/Shoes/Athletic,Jordan,15.0,1,3 pairs of Jordan R's for Malik. 9's size 10 4's size 10 and 2's size 9.5
133592,Japanese Snacky Snacks Bundle WYSIWYG,1,Other/Other/Other,,20.0,1,No description yet
93095,Jean leggings size 11,3,"Women/Jeans/Slim, Skinny",YMI,11.0,0,Very comfy Jean leggings in perfect condition worn once. These are stretchy but true to size.
195271,Infant Jordan SC-1,1,Kids/Boys 0-24 Mos/Shoes,Nike,26.0,0,"Brand New Colors: black/grey Size: 4c The shoe laces are elastic and there is velcro. Box is included, but will lower shipping price if shipped without box. Otherwise, price & shipping is firm. Original retail: [rm]"
926015,Passion perfume,3,Beauty/Fragrance/Women,,5.0,1,Elizabeth Taylor Passion perfume Used but just a few times Bottle is .38 fl oz
133068,10k solid gold,1,Vintage & Collectibles/Jewelry/Pendant,,59.0,0,This is a golden axe in solid 10k solid gold
781354,Bundle for Blessie!,4,Women/Athletic Apparel/Jackets,Lululemon,36.0,1,"Bundle for Blessie! Set of 2 Lululemon short Scubas, red and green. Free Ship!"
1165336,New Era Fitted,3,Men/Men's Accessories/Hats,New Era,9.0,0,7 5/8
942286,Jordan Chicago bulls swingman jersey L,1,Men/Athletic Apparel/Jerseys,Nike,35.0,1,100% authentic brand new with tag
280316,Color EYES,1,Beauty/Makeup/Eyes,,10.0,1,"Brand New!!! Fresh look color blends contact lenses provides a 3 in 1 color technology that blends with your eye color for a natural look, they also provides a safe and unique way to enhance your appearance. They can be used multiple times with proper care, they also offer a wide range of colors that looks beautiful on both dark and light colored eyes 1 pair of colored non prescription CONTACTS SEALED IN CONTAINERS with box These are yearly contacts ❗️No HOLDS, PRICE FIRM ❗️CONTACTS & ONE CASE ❗CARE : ️Please leave in clean solution in your case over night before wearing for the first time ❗️Always wash your hands before applying them MESSAGE ME WITH COLOR ASAP 11$ A PAIR WITH CASE SHIPS SAME DAY Colors available Gemstone GREEN BROWN BLUE BRILLIANT BLUE TURQUOISE GREEN GREY"
1305005,Pink Tulle Skirt,3,Women/Skirts/Tiered,,14.0,0,"I only wore this skirt once, it's in good condition."
685868,My charge portable charger,2,Electronics/Cell Phones & Accessories/Chargers & Cradles,,19.0,0,Practically brand new my charge. It has an iPhone charger and android charger already connected. Has an input plug in for other options.
969207,"""Imperfectly perfect"" white shirt",2,Women/Tops & Blouses/T-Shirts,,14.0,0,"Comes in different sizes XS, S, M, L, XL Ignore Brandy Melville AA American Apparel Urban Outfitters VS victoria secret pink pacsun Forever 21 Ulta Sephora Nike Adidas"
1286405,Authentic Pandora love letter charm,3,Women/Jewelry/Bracelets,PANDORA,15.0,1,Cute as can be authentic Pandora love letter charm. I love this one! It's in good shape and marked S925 ale. Selling some of my personal collection and will bundle of you ask!
436476,Rae Dunn BLOOM birdhouse,1,Home/Home Décor/Home Décor Accents,Rae Dunn,59.0,0,New!
